player1,player2,wins1,wins2,dateYear,dateMonth,dateDay
Skipper,GrandDaddyKirsch,1,0,2016,6,23
Walz,Scientific,1,0,2016,6,23
Kurt Cobain,47,0,1,2016,6,23
Luckk,Macintosh,0,1,2016,6,23
Water,SnooSnoo,0,1,2016,6,23
Storm,Pig,0,1,2016,6,23
Count,Nu,0,1,2016,6,23
Birdthulu,Jew2King,0,1,2016,6,23
Minty,Skipper,1,0,2016,6,23
FunkDoctor,Walz,1,0,2016,6,23
JKJ,47,1,0,2016,6,23
Lefty,Macintosh,1,0,2016,6,23
Animal,SnooSnoo,1,0,2016,6,23
Nerd,Pig,1,0,2016,6,23
Darktooth,Nu,1,0,2016,6,23
Coinchaser,Jew2King,1,0,2016,6,23
Minty,FunkDoctor,1,0,2016,6,23
JKJ,Lefty,1,0,2016,6,23
Animal,Nerd,1,0,2016,6,23
Darktooth,Coinchaser,1,0,2016,6,23
Minty,JKJ,0,1,2016,6,23
Animal,Darktooth,1,0,2016,6,23
JKJ,Animal,0,1,2016,6,23
Jew2King,GrandDaddyKirsch,1,0,2016,6,23
Nu,Scientific,1,0,2016,6,23
Pig,Kurt Cobain,1,0,2016,6,23
SnooSnoo,Luckk,1,0,2016,6,23
Macintosh,Water,1,0,2016,6,23
47,Storm,1,0,2016,6,23
Walz,Count,1,0,2016,6,23
Skipper,Birdthulu,1,0,2016,6,23
Jew2King,Nu,0,1,2016,6,23
Pig,SnooSnoo,0,1,2016,6,23
Macintosh,47,0,1,2016,6,23
Walz,Skipper,0,1,2016,6,23
Lefty,Nu,1,0,2016,6,23
FunkDoctor,SnooSnoo,0,1,2016,6,23
Coinchaser,47,0,1,2016,6,23
Nerd,Skipper,1,0,2016,6,23
Lefty,SnooSnoo,1,0,2016,6,23
47,Nerd,1,0,2016,6,23
Darktooth,Lefty,1,0,2016,6,23
Minty,47,1,0,2016,6,23
Darktooth,Minty,1,0,2016,6,23
JKJ,Darktooth,1,0,2016,6,23
Animal,JKJ,1,0,2016,6,23
Evan,Jaaj,1,0,2016,6,26
Ham,Angel,1,0,2016,6,26
Walz,Skittles,1,0,2016,6,26
SS jao,Scientific,1,0,2016,6,26
H!ggins,Lerty,1,0,2016,6,26
Volvulous,JTS,1,0,2016,6,26
Pig,Chief Spladle,1,0,2016,6,26
c4burger,JacD,0,1,2016,6,26
Gazpacho,Brad,1,0,2016,6,26
Tangerine,seranade,1,0,2016,6,26
Groovy,Pinnacle,1,0,2016,6,26
Kim $$$$,Pringles,1,0,2016,6,26
syko,Chipotle,1,0,2016,6,26
Animal,Evan,1,0,2016,6,26
Skipper,Dr lobster,0,1,2016,6,26
9000,Ham,1,0,2016,6,26
Lefty,Walz,1,0,2016,6,26
Subtle,SS jao,1,0,2016,6,26
47,H!ggins,0,1,2016,6,26
Kaeon,Volvulous,1,0,2016,6,26
Fruitcake,Pig,0,1,2016,6,26
Minty,JacD,1,0,2016,6,26
Nick Nasty,Swivel,0,1,2016,6,26
Coinchaser,Gazpacho,1,0,2016,6,26
Wild,Tangerine,1,0,2016,6,26
Beerman,Groovy,1,0,2016,6,26
BabyBird,K8a,1,0,2016,6,26
Codi,Kim $$$$,1,0,2016,6,26
just sexed,syko,0,1,2016,6,26
Animal,Dr lobster,1,0,2016,6,26
9000,Lefty,1,0,2016,6,26
Subtle,H!ggins,1,0,2016,6,26
Kaeon,Pig,1,0,2016,6,26
Minty,Swivel,1,0,2016,6,26
Coinchaser,Wild,1,0,2016,6,26
Beerman,BabyBird,1,0,2016,6,26
Codi,syko,1,0,2016,6,26
Animal,9000,1,0,2016,6,26
Subtle,Kaeon,1,0,2016,6,26
Minty,Coinchaser,1,0,2016,6,26
Beerman,Codi,1,0,2016,6,26
Animal,Subtle,1,0,2016,6,26
Minty,Beerman,0,1,2016,6,26
Animal,Beerman,0,1,2016,6,26
just sexed,Jaaj,1,0,2016,6,26
K8a,Angel,1,0,2016,6,26
Groovy,Skittles,1,0,2016,6,26
Tangerine,Scientific,1,0,2016,6,26
Gazpacho,Lerty,1,0,2016,6,26
Nick Nasty,JTS,1,0,2016,6,26
JacD,Chief Spladle,1,0,2016,6,26
Fruitcake,c4burger,1,0,2016,6,26
47,Brad,1,0,2016,6,26
SS jao,seranade,1,0,2016,6,26
Walz,Pinnacle,1,0,2016,6,26
Skipper,Pringles,1,0,2016,6,26
Evan,Chipotle,1,0,2016,6,26
Kim $$$$,just sexed,0,1,2016,6,26
K8a,Groovy,1,0,2016,6,26
Tangerine,Gazpacho,1,0,2016,6,26
Nick Nasty,JacD,1,0,2016,6,26
Volvulous,Fruitcake,1,0,2016,6,26
47,SS jao,0,1,2016,6,26
Ham,Walz,0,1,2016,6,26
Skipper,Evan,1,0,2016,6,26
Pig,just sexed,0,1,2016,6,26
H!ggins,K8a,0,1,2016,6,26
Lefty,Tangerine,1,0,2016,6,26
Dr lobster,Nick Nasty,1,0,2016,6,26
syko,Volvulous,1,0,2016,6,26
BabyBird,SS jao,1,0,2016,6,26
Wild,Walz,1,0,2016,6,26
Swivel,Skipper,0,1,2016,6,26
just sexed,K8a,1,0,2016,6,26
Lefty,Dr lobster,0,1,2016,6,26
syko,BabyBird,1,0,2016,6,26
Wild,Skipper,1,0,2016,6,26
Coinchaser,just sexed,1,0,2016,6,26
Codi,Dr lobster,1,0,2016,6,26
9000,syko,1,0,2016,6,26
Kaeon,Wild,1,0,2016,6,26
Coinchaser,Codi,0,1,2016,6,26
