player1,player2,wins1,wins2,dateYear,dateMonth,dateDay
Dimitrov G.,Simon G.,6,3,2016,1,4
Dimitrov G.,Simon G.,7,6,2016,1,4
Kudla D.,Smith J.P.,4,6,2016,1,4
Kudla D.,Smith J.P.,6,3,2016,1,4
Kudla D.,Smith J.P.,6,2,2016,1,4
Kamke T.,Mitchell B.,6,2,2016,1,4
Kamke T.,Mitchell B.,6,4,2016,1,4
Chung H.,Groth S.,7,6,2016,1,4
Chung H.,Groth S.,6,4,2016,1,4
Goffin D.,Bellucci T.,6,4,2016,1,5
Goffin D.,Bellucci T.,6,4,2016,1,5
Troicki V.,Johnson S.,7,6,2016,1,5
Troicki V.,Johnson S.,6,1,2016,1,5
Thiem D.,Duckworth J.,3,6,2016,1,5
Thiem D.,Duckworth J.,6,4,2016,1,5
Thiem D.,Duckworth J.,6,3,2016,1,5
Stepanek R.,Lajovic D.,6,0,2016,1,5
Stepanek R.,Lajovic D.,6,3,2016,1,5
Dodig I.,Anderson O.,6,3,2016,1,5
Dodig I.,Anderson O.,6,2,2016,1,5
Pouille L.,Nishioka Y.,4,6,2016,1,5
Pouille L.,Nishioka Y.,6,3,2016,1,5
Pouille L.,Nishioka Y.,7,5,2016,1,5
Kukushkin M.,Istomin D.,6,2,2016,1,5
Kukushkin M.,Istomin D.,7,5,2016,1,5
Tomic B.,Mahut N.,6,4,2016,1,5
Tomic B.,Mahut N.,6,3,2016,1,5
Thiem D.,Kudla D.,6,3,2016,1,6
Thiem D.,Kudla D.,6,2,2016,1,6
Nishikori K.,Kukushkin M.,6,3,2016,1,6
Nishikori K.,Kukushkin M.,6,4,2016,1,6
Cilic M.,Chung H.,7,5,2016,1,6
Cilic M.,Chung H.,7,6,2016,1,6
Tomic B.,Stepanek R.,7,6,2016,1,6
Tomic B.,Stepanek R.,4,6,2016,1,6
Tomic B.,Stepanek R.,7,6,2016,1,6
Pouille L.,Goffin D.,7,6,2016,1,7
Pouille L.,Goffin D.,4,6,2016,1,7
Pouille L.,Goffin D.,6,3,2016,1,7
Raonic M.,Dodig I.,6,7,2016,1,7
Raonic M.,Dodig I.,6,1,2016,1,7
Raonic M.,Dodig I.,6,4,2016,1,7
Dimitrov G.,Troicki V.,5,7,2016,1,7
Dimitrov G.,Troicki V.,7,6,2016,1,7
Dimitrov G.,Troicki V.,6,2,2016,1,7
Federer R.,Kamke T.,6,2,2016,1,7
Federer R.,Kamke T.,6,1,2016,1,7
Raonic M.,Pouille L.,6,4,2016,1,8
Raonic M.,Pouille L.,6,4,2016,1,8
Tomic B.,Nishikori K.,6,3,2016,1,8
Tomic B.,Nishikori K.,1,6,2016,1,8
Tomic B.,Nishikori K.,6,3,2016,1,8
Thiem D.,Cilic M.,2,6,2016,1,8
Thiem D.,Cilic M.,7,6,2016,1,8
Thiem D.,Cilic M.,6,4,2016,1,8
Federer R.,Dimitrov G.,6,4,2016,1,8
Federer R.,Dimitrov G.,6,7,2016,1,8
Federer R.,Dimitrov G.,6,4,2016,1,8
Raonic M.,Tomic B.,7,6,2016,1,9
Raonic M.,Tomic B.,7,6,2016,1,9
Federer R.,Thiem D.,6,1,2016,1,9
Federer R.,Thiem D.,6,4,2016,1,9
Raonic M.,Federer R.,6,4,2016,1,10
Raonic M.,Federer R.,6,4,2016,1,10
Millman J.,Donskoy E.,6,7,2016,1,4
Millman J.,Donskoy E.,6,4,2016,1,4
Millman J.,Donskoy E.,7,6,2016,1,4
Pavic A.,Almagro N.,3,6,2016,1,4
Pavic A.,Almagro N.,7,5,2016,1,4
Pavic A.,Almagro N.,7,6,2016,1,4
Coric B.,Granollers M.,7,6,2016,1,4
Coric B.,Granollers M.,2,6,2016,1,4
Coric B.,Granollers M.,6,4,2016,1,4
Garcia-Lopez G.,Daniel T.,4,6,2016,1,5
Garcia-Lopez G.,Daniel T.,7,5,2016,1,5
Garcia-Lopez G.,Daniel T.,6,2,2016,1,5
Rublev A.,Devvarman S.,6,3,2016,1,5
Rublev A.,Devvarman S.,3,6,2016,1,5
Rublev A.,Devvarman S.,6,3,2016,1,5
Krajicek A.,Ram R.,6,7,2016,1,5
Krajicek A.,Ram R.,6,4,2016,1,5
Krajicek A.,Ram R.,6,4,2016,1,5
Rosol L.,Giraldo S.,6,3,2016,1,5
Rosol L.,Giraldo S.,6,4,2016,1,5
Ramanathan R.,Gimeno-Traver D.,6,2,2016,1,5
Ramanathan R.,Gimeno-Traver D.,6,0,2016,1,5
Vanni L.,Struff J.L.,6,4,2016,1,5
Vanni L.,Struff J.L.,7,6,2016,1,5
Muller G.,Khachanov K.,6,7,2016,1,5
Muller G.,Khachanov K.,7,6,2016,1,5
Muller G.,Khachanov K.,6,2,2016,1,5
Fabbiano T.,Kovalik J.,1,6,2016,1,5
Fabbiano T.,Kovalik J.,6,3,2016,1,5
Fabbiano T.,Kovalik J.,6,4,2016,1,5
Bedene A.,Pospisil V.,7,5,2016,1,5
Bedene A.,Pospisil V.,7,6,2016,1,5
Coric B.,Krajicek A.,6,2,2016,1,6
Coric B.,Krajicek A.,7,5,2016,1,6
Garcia-Lopez G.,Pavic A.,7,6,2016,1,6
Garcia-Lopez G.,Pavic A.,6,1,2016,1,6
Wawrinka S.,Rublev A.,6,3,2016,1,6
Wawrinka S.,Rublev A.,6,2,2016,1,6
Bautista R.,Millman J.,6,4,2016,1,6
Bautista R.,Millman J.,6,1,2016,1,6
Fabbiano T.,Muller G.,6,4,2016,1,7
Fabbiano T.,Muller G.,7,5,2016,1,7
Paire B.,Rosol L.,7,5,2016,1,7
Paire B.,Rosol L.,7,5,2016,1,7
Bedene A.,Vanni L.,5,7,2016,1,7
Bedene A.,Vanni L.,6,3,2016,1,7
Bedene A.,Vanni L.,6,4,2016,1,7
Ramanathan R.,Kudryavtsev A.,3,6,2016,1,7
Ramanathan R.,Kudryavtsev A.,6,4,2016,1,7
Ramanathan R.,Kudryavtsev A.,6,4,2016,1,7
Paire B.,Fabbiano T.,6,4,2016,1,8
Paire B.,Fabbiano T.,7,5,2016,1,8
Wawrinka S.,Garcia-Lopez G.,6,4,2016,1,8
Wawrinka S.,Garcia-Lopez G.,6,4,2016,1,8
Bedene A.,Ramanathan R.,6,7,2016,1,8
Bedene A.,Ramanathan R.,6,4,2016,1,8
Bedene A.,Ramanathan R.,6,3,2016,1,8
Coric B.,Bautista R.,3,6,2016,1,8
Coric B.,Bautista R.,6,4,2016,1,8
Coric B.,Bautista R.,7,6,2016,1,8
Wawrinka S.,Paire B.,6,3,2016,1,9
Wawrinka S.,Paire B.,6,4,2016,1,9
Coric B.,Bedene A.,7,6,2016,1,9
Coric B.,Bedene A.,6,7,2016,1,9
Coric B.,Bedene A.,6,3,2016,1,9
Wawrinka S.,Coric B.,6,3,2016,1,10
Wawrinka S.,Coric B.,7,5,2016,1,10
Dzumhur D.,Cecchinato M.,6,4,2016,1,4
